__time,/ground_truth/pose/pose/position/x,/ground_truth/pose/pose/position/y,/ground_truth/pose/pose/position/z,/ground_truth/pose/pose/orientation/yaw
1719597316.851077,3.646092266,0.078716646,-0.001097385,0.23611901
1719597316.85216,3.646338378,0.078776947,-0.001096903,0.23620568
1719597316.85308,3.646584261,0.078835883,-0.001096132,0.236291484
1719597316.854148,3.646829788,0.078893703,-0.001095033,0.236376343
1719597316.855219,3.647074857,0.078950673,-0.001093565,0.236460194
1719597316.856083,3.647317636,0.079010077,-0.00109189,0.236543229
1719597316.857159,3.647557166,0.079066043,-0.001090772,0.236630658
1719597316.858186,3.647794303,0.079118763,-0.001090038,0.23672096
1719597316.859075,3.648030186,0.079168828,-0.001089475,0.23681116
1719597316.86014,3.648265322,0.079217737,-0.001088944,0.236900522
1719597316.861082,3.648499984,0.079266819,-0.00108835,0.236989032
1719597316.862192,3.648734399,0.079316947,-0.001087628,0.237076756
1719597316.863099,3.648968775,0.079368602,-0.001086729,0.237163764
1719597316.864038,3.649203303,0.07942197,-0.001085611,0.237250128
1719597316.865083,3.649438152,0.079477028,-0.00108424,0.237335925
1719597316.866021,3.649673474,0.079533604,-0.001082588,0.237421211
1719597316.867054,3.649910632,0.079588867,-0.001080876,0.23750611
1719597316.868029,3.65015087,0.07964714,-0.001079792,0.237596522
1719597316.869062,3.650393126,0.079710303,-0.001079145,0.237687476
1719597316.870049,3.650636829,0.079776683,-0.001078743,0.237778337
1719597316.871064,3.650881625,0.079844432,-0.001078452,0.237868995
1719597316.872072,3.651127245,0.079912131,-0.001078185,0.237959355
1719597316.873039,3.651373463,0.079978848,-0.001077876,0.238049331
1719597316.874077,3.651620056,0.080044066,-0.00107747,0.238138835
1719597316.875059,3.651866814,0.080107564,-0.001076922,0.23822775
1719597316.876082,3.652113545,0.080169341,-0.001076186,0.238315958
1719597316.87705,3.652355426,0.080237099,-0.00107598,0.238403553
1719597316.878087,3.652593188,0.080308789,-0.001076167,0.23849071
1719597316.879238,3.652831179,0.080368752,-0.001078021,0.238582161
1719597316.880218,3.653068709,0.080421424,-0.001081031,0.238676617
1719597316.88108,3.653306102,0.080469354,-0.001084786,0.238771234
1719597316.88215,3.653543364,0.080515356,-0.00108902,0.238865131
1719597316.883207,3.653780411,0.08056158,-0.001093554,0.238958111
1719597316.884109,3.654017051,0.080609465,-0.00109825,0.239050031
1719597316.885192,3.654253566,0.080659358,-0.001102989,0.23914048
1719597316.886319,3.654490061,0.080711748,-0.001107666,0.2392298
1719597316.887082,3.654726655,0.080766658,-0.001112181,0.239318111
1719597316.888144,3.65496348,0.080823815,-0.001116442,0.239405432
1719597316.889067,3.655200663,0.08088281,-0.00112036,0.23949176
1719597316.890085,3.655438307,0.080943193,-0.001123851,0.239577091
1719597316.891061,3.655677871,0.08100129,-0.00112708,0.239661795
1719597316.892051,3.655920506,0.081062211,-0.001130756,0.23975217
1719597316.893012,3.65616503,0.081127992,-0.001134636,0.239842666
1719597316.894058,3.656410837,0.081196821,-0.001138475,0.239932394
